year,role,with
2020,Faculty Promotion Review,Illinois Natural History Survey
2020,Research Proprosal Review,Mitacs [Canada]
2019,Research Proprosal Review,Mitacs [Canada]
2017,Research Proprosal Review,Natural Sciences and Engineering Research Council (NSERC) Strategic Project Grants Proposal [Canada]
2016,Research Proprosal Review,Natural Sciences and Engineering Research Council (NSERC) Strategic Project Grants Proposal [Canada]
2015,Technical Reviewer,"Type-N Hardrock Study, Washington State Department of Natural Resources"
