when,what,where
2015,Best paper award (Stewart et al.),Nebraska Chapter of the American Fisheries Society
2011,Editors Choice Manuscript,Fisheries Management and Ecology
2012,Outstanding Postdoc Award,University of Nebraska-Lincoln
2010,Best professional paper award (Bajer et al.),Joint meeting of the Minnesota Chapter of the American Fisheries Society and Wildlife Society
2007,Outstanding Fisheries Worker,Texas Chapter of the American Fisheries Society
2006,"Best Poster, Graduate Student Poster Competition",Texas Tech University 
2024,Sustained Excellence in Teaching and Learning,University of Nebraska-Lincoln
